date,session_type,title,duration_minutes,distance_km,tss,notes
2026-03-16,Run,Repeticiones 3x100 + 9x800/1:30 pausa,49.6,8.47,71,"Calentamiento 2k, 3x100 (ascensión) Z6, 9x800 Z5 con 1:30 pausa. Objetivo potencia anaeróbica."
2026-03-17,Swim,Lap Swimming,40.0,1.98,27,"Natación fácil con 2.0 km totales, ritmo constante."
2026-03-17,Strength,Fuerza (Z3) 4(7x3') baja cadencia,43.8,15.8,53,"Sesión de fuerza en bicicleta: 4 bloques de 7' Z3 con recuperaciones de 3'."
2026-03-18,Run,20k trote aeróbico Z2 con cerro,97.6,17.5,187,"Trote constante con 20 km totales y 2 km de subida controlada."
2026-03-18,Swim,Lap Swimming,46.9,2.28,30,"Trabajo técnico con 2.3 km totales, enfoque en consistencia de brazada."
2026-03-19,Run,Z1/Z2 + aceleraciones / umbral,67.4,27.9,40,"45 min Z1/Z2 + 6x15seg parados en pedales (aceleraciones) con 2 min recuperación."
2026-03-20,Run,8k trote aeróbico Z2,43.3,8.13,90,"Salida corta en Z2 con foco en ritmo constante."
2026-03-20,Swim,Lap Swimming,37.7,1.88,26,"Natación suave para recuperación post-running."
2026-03-21,Bike,Ciclismo 3:30 h (20'x8'),210.0,71.7,281,"Rodaje largo con 3 bloques de 20' enfoque Z4 y Z2."
2026-03-21,Run,35 min Z2,35.0,6.1,44,"Trote de baja intensidad para soltar piernas."
2026-03-22,Rest,Descanso I,0.0,0.0,0,"Jornada de recuperación total, enfoque en movilidad."
